AgBAL001	 Pop_0 	Agerm1_02 	170 	176
AgBAL011	 Pop_0 	Agerm1_03 	161 	161
AgBAL012	 Pop_0 	Agerm1_03 	161 	161
AgBAL013	 Pop_0 	Agerm1_03 	161 	165
AgBAL014	 Pop_0 	Agerm1_03 	161 	161
AgBAL015	 Pop_0 	Agerm1_03 	161 	155
AgBAL016	 Pop_0 	Agerm1_03 	161 	161
AgBAL017	 Pop_0 	Agerm1_03 	161 	161
AgBAL018	 Pop_0 	Agerm1_03 	161 	165
AgBAL020	 Pop_0 	Agerm1_03 	161 	155
AgBAL021	 Pop_0 	Agerm1_03 	161 	161
AgBAL022	 Pop_0 	Agerm1_03 	161 	161
AgBAL023	 Pop_0 	Agerm1_03 	161 	161
AgBAL024	 Pop_0 	Agerm1_03 	161 	161
AgBAL025	 Pop_0 	Agerm1_03 	161 	155
AgBAL026	 Pop_0 	Agerm1_03 	161 	161
AgBAL027	 Pop_0 	Agerm1_03 	161 	161
AgBAL028	 Pop_0 	Agerm1_03 	161 	161
AgBAL029	 Pop_0 	Agerm1_03 	161 	161
AgBAL030	 Pop_0 	Agerm1_03 	161 	163
AgBAL032	 Pop_0 	Agerm1_03 	161 	163
AgBMR005	 Pop_0 	Agerm1_03 	161 	161
AgBMR006	 Pop_0 	Agerm1_03 	155 	161
AgBMR007	 Pop_0 	Agerm1_03 	155 	155
AgBMR009	 Pop_0 	Agerm1_03 	155 	161
AgBMR010	 Pop_0 	Agerm1_03 	155 	161
AgBMR011	 Pop_0 	Agerm1_03 	155 	155
AgBMR012	 Pop_0 	Agerm1_03 	161 	161
AgBMR013	 Pop_0 	Agerm1_03 	155 	155
AgBMR014	 Pop_0 	Agerm1_03 	161 	155
AgBMR016	 Pop_0 	Agerm1_03 	155 	155
AgBMR017	 Pop_0 	Agerm1_03 	161 	155
AgBMR018	 Pop_0 	Agerm1_03 	155 	155
AgBMR019	 Pop_0 	Agerm1_03 	161 	155
AgBMR020	 Pop_0 	Agerm1_03 	161 	155
AgBMR021	 Pop_0 	Agerm1_03 	155 	155
AgBMR022	 Pop_0 	Agerm1_03 	155 	155
AgBMR023	 Pop_0 	Agerm1_03 	155 	155
AgBMR024	 Pop_0 	Agerm1_03 	155 	155
AgBMR025	 Pop_0 	Agerm1_03 	155 	155
AgBMR026	 Pop_0 	Agerm1_03 	155 	161
AgBMR027	 Pop_0 	Agerm1_03 	155 	155
AgBMR029	 Pop_0 	Agerm1_03 	155 	161
AgBMR030	 Pop_0 	Agerm1_03 	155 	161
AgBMR031	 Pop_0 	Agerm1_03 	155 	155
AgBMR032	 Pop_0 	Agerm1_03 	0 	0
AgBMR033	 Pop_0 	Agerm1_03 	155 	155
AgBMR034	 Pop_0 	Agerm1_03 	155 	155
AgBMR035	 Pop_0 	Agerm1_03 	155 	155
AgBMR036	 Pop_0 	Agerm1_03 	155 	155
AgBMR037	 Pop_0 	Agerm1_03 	155 	155
AgBMR038	 Pop_0 	Agerm1_03 	155 	161
AgBPA001	 Pop_0 	Agerm1_03 	161 	161
AgBPA002	 Pop_0 	Agerm1_03 	161 	155
AgBPA003	 Pop_0 	Agerm1_03 	161 	161
AgBPA004	 Pop_0 	Agerm1_03 	161 	161
AgBPA005	 Pop_0 	Agerm1_03 	161 	161
AgBPA006	 Pop_0 	Agerm1_03 	161 	161
AgBPA007	 Pop_0 	Agerm1_03 	161 	161
AgBPA008	 Pop_0 	Agerm1_03 	161 	161
AgBPA009	 Pop_0 	Agerm1_03 	161 	161
AgBPA010	 Pop_0 	Agerm1_03 	161 	161
AgBPA011	 Pop_0 	Agerm1_03 	161 	161
AgBPA012	 Pop_0 	Agerm1_03 	161 	161
AgBPA013	 Pop_0 	Agerm1_03 	161 	161
AgBPA014	 Pop_0 	Agerm1_03 	161 	161
AgBPA015	 Pop_0 	Agerm1_03 	161 	161
AgBPA016	 Pop_0 	Agerm1_03 	161 	161
AgBPA017	 Pop_0 	Agerm1_03 	161 	161
AgBPA018	 Pop_0 	Agerm1_03 	161 	161
AgBPA019	 Pop_0 	Agerm1_03 	161 	161
AgBPA020	 Pop_0 	Agerm1_03 	161 	161
AgBPA021	 Pop_0 	Agerm1_03 	161 	161
AgBPA022	 Pop_0 	Agerm1_03 	161 	161
AgBPA023	 Pop_0 	Agerm1_03 	161 	161
AgBPA024	 Pop_0 	Agerm1_03 	161 	161
AgBPA025	 Pop_0 	Agerm1_03 	161 	161
AgBPA026	 Pop_0 	Agerm1_03 	161 	161
AgBPA027	 Pop_0 	Agerm1_03 	161 	161
AgBPA028	 Pop_0 	Agerm1_03 	161 	161
AgBPB001	 Pop_0 	Agerm1_03 	155 	155
AgBPB002	 Pop_0 	Agerm1_03 	155 	155
AgBPB003	 Pop_0 	Agerm1_03 	161 	155
AgBPB004	 Pop_0 	Agerm1_03 	161 	155
AgBPB005	 Pop_0 	Agerm1_03 	161 	155
AgBPB006	 Pop_0 	Agerm1_03 	161 	155
AgBPB007	 Pop_0 	Agerm1_03 	155 	161
AgBPB008	 Pop_0 	Agerm1_03 	161 	155
AgBPB009	 Pop_0 	Agerm1_03 	161 	161
AgBPB010	 Pop_0 	Agerm1_03 	155 	155
AgBPB011	 Pop_0 	Agerm1_03 	155 	161
AgBPB012	 Pop_0 	Agerm1_03 	155 	161
AgBPB013	 Pop_0 	Agerm1_03 	155 	161
AgBPB014	 Pop_0 	Agerm1_03 	155 	155
AgBPB015	 Pop_0 	Agerm1_03 	161 	161
AgBPB016	 Pop_0 	Agerm1_03 	155 	155
AgBPB017	 Pop_0 	Agerm1_03 	161 	155
AgBPB018	 Pop_0 	Agerm1_03 	161 	155
AgBPB019	 Pop_0 	Agerm1_03 	161 	155
AgBPB020	 Pop_0 	Agerm1_03 	161 	155
AgBPB021	 Pop_0 	Agerm1_03 	155 	155
AgBPB022	 Pop_0 	Agerm1_03 	155 	161
AgBPB023	 Pop_0 	Agerm1_03 	155 	161
AgBPB024	 Pop_0 	Agerm1_03 	155 	155
AgBPB025	 Pop_0 	Agerm1_03 	155 	155
AgBPB026	 Pop_0 	Agerm1_03 	161 	161
AgBPB027	 Pop_0 	Agerm1_03 	161 	161
AgBTM001	 Pop_1 	Agerm1_03 	155 	155
AgBTM002	 Pop_1 	Agerm1_03 	155 	155
AgBTM003	 Pop_1 	Agerm1_03 	155 	155
AgBTM004	 Pop_1 	Agerm1_03 	155 	155
AgBTM005	 Pop_1 	Agerm1_03 	155 	155
AgBTM006	 Pop_1 	Agerm1_03 	155 	155
AgBTM007	 Pop_1 	Agerm1_03 	155 	155
AgBTM008	 Pop_1 	Agerm1_03 	155 	155
AgBTM009	 Pop_1 	Agerm1_03 	155 	155
AgBTM010	 Pop_1 	Agerm1_03 	155 	155
AgBTM011	 Pop_1 	Agerm1_03 	155 	155
AgBTM012	 Pop_1 	Agerm1_03 	155 	155
AgBTM013	 Pop_1 	Agerm1_03 	155 	155
AgBTM014	 Pop_1 	Agerm1_03 	155 	155
AgBTM015	 Pop_1 	Agerm1_03 	155 	155
AgBTM016	 Pop_1 	Agerm1_03 	155 	155
AgBTM017	 Pop_1 	Agerm1_03 	155 	155
AgBTM018	 Pop_1 	Agerm1_03 	155 	155
AgBTM019	 Pop_1 	Agerm1_03 	155 	155
AgBTM020	 Pop_1 	Agerm1_03 	155 	155
AgBTM021	 Pop_1 	Agerm1_03 	155 	155
AgBTM022	 Pop_1 	Agerm1_03 	155 	155
AgBTM023	 Pop_1 	Agerm1_03 	155 	155
AgBTM024	 Pop_1 	Agerm1_03 	155 	155
AgBTM025	 Pop_1 	Agerm1_03 	155 	155
AgBTM026	 Pop_1 	Agerm1_03 	155 	155
AgBTM027	 Pop_1 	Agerm1_03 	155 	155
AgBTM028	 Pop_1 	Agerm1_03 	155 	155
AgBTM029	 Pop_1 	Agerm1_03 	155 	155
AgBTM030	 Pop_1 	Agerm1_03 	155 	155
AgBTM031	 Pop_1 	Agerm1_03 	155 	155
AgBTM032	 Pop_1 	Agerm1_03 	155 	155
AgBPN001	 Pop_0 	Agerm1_03 	161 	161
AgBPN002	 Pop_0 	Agerm1_03 	161 	161
AgBPN003	 Pop_0 	Agerm1_03 	161 	161
AgBPN004	 Pop_0 	Agerm1_03 	161 	161
AgBPN005	 Pop_0 	Agerm1_03 	161 	161
AgBPN006	 Pop_0 	Agerm1_03 	161 	161
AgBPN007	 Pop_0 	Agerm1_03 	161 	161
AgBPN008	 Pop_0 	Agerm1_03 	161 	161
AgBPN009	 Pop_0 	Agerm1_03 	161 	161
AgBPN010	 Pop_0 	Agerm1_03 	161 	161
AgBPN011	 Pop_0 	Agerm1_03 	161 	161
AgBPN012	 Pop_0 	Agerm1_03 	161 	161
AgBPN013	 Pop_0 	Agerm1_03 	161 	161
AgBPN014	 Pop_0 	Agerm1_03 	161 	161
AgBPN015	 Pop_0 	Agerm1_03 	161 	161
AgBPN016	 Pop_0 	Agerm1_03 	161 	161
AgBPN017	 Pop_0 	Agerm1_03 	161 	161
AgBPN018	 Pop_0 	Agerm1_03 	161 	161
AgBPN019	 Pop_0 	Agerm1_03 	161 	161
AgBPN020	 Pop_0 	Agerm1_03 	161 	163
AgBPN021	 Pop_0 	Agerm1_03 	161 	161
AgBPN022	 Pop_0 	Agerm1_03 	161 	161
AgBPN023	 Pop_0 	Agerm1_03 	161 	161
AgBPN024	 Pop_0 	Agerm1_03 	161 	161
AgBPN025	 Pop_0 	Agerm1_03 	161 	161
AgBPN026	 Pop_0 	Agerm1_03 	161 	161
AgBPN027	 Pop_0 	Agerm1_03 	161 	161
AgBPN028	 Pop_0 	Agerm1_03 	161 	161
AgBPN029	 Pop_0 	Agerm1_03 	161 	161
AgBPR003	 Pop_0 	Agerm1_03 	161 	161
AgBPR004	 Pop_0 	Agerm1_03 	161 	161
AgBPR006	 Pop_0 	Agerm1_03 	161 	161
AgBPR008	 Pop_0 	Agerm1_03 	161 	161
AgBPR010	 Pop_0 	Agerm1_03 	163 	163
AgBAL001	 Pop_0 	Agerm1_06 	173 	173
AgBAL002	 Pop_0 	Agerm1_06 	173 	173
AgBAL003	 Pop_0 	Agerm1_06 	173 	173
AgBAL004	 Pop_0 	Agerm1_06 	173 	173
AgBAL005	 Pop_0 	Agerm1_06 	173 	173
AgBAL006	 Pop_0 	Agerm1_06 	173 	173
AgBAL007	 Pop_0 	Agerm1_06 	173 	173
AgBAL008	 Pop_0 	Agerm1_06 	173 	173
AgBAL010	 Pop_0 	Agerm1_06 	173 	173
AgBAL011	 Pop_0 	Agerm1_06 	173 	173
AgBAL012	 Pop_0 	Agerm1_06 	173 	173
AgBAL013	 Pop_0 	Agerm1_06 	173 	173
AgBAL014	 Pop_0 	Agerm1_06 	173 	173
AgBAL015	 Pop_0 	Agerm1_06 	173 	173
AgBAL016	 Pop_0 	Agerm1_06 	173 	173
AgBAL017	 Pop_0 	Agerm1_06 	173 	173
AgBAL018	 Pop_0 	Agerm1_06 	173 	173
AgBAL020	 Pop_0 	Agerm1_06 	173 	173
AgBAL021	 Pop_0 	Agerm1_06 	173 	173
AgBAL022	 Pop_0 	Agerm1_06 	173 	173
AgBAL023	 Pop_0 	Agerm1_06 	173 	173
AgBAL024	 Pop_0 	Agerm1_06 	173 	173
AgBAL025	 Pop_0 	Agerm1_06 	173 	173
AgBAL026	 Pop_0 	Agerm1_06 	173 	173
AgBAL027	 Pop_0 	Agerm1_06 	173 	173
AgBAL028	 Pop_0 	Agerm1_06 	173 	173
AgBAL029	 Pop_0 	Agerm1_06 	173 	173
AgBAL030	 Pop_0 	Agerm1_06 	173 	173
AgBAL032	 Pop_0 	Agerm1_06 	173 	173
AgBMR005	 Pop_0 	Agerm1_06 	173 	173
AgBMR006	 Pop_0 	Agerm1_06 	175 	173
AgBMR007	 Pop_0 	Agerm1_06 	175 	173
AgBMR009	 Pop_0 	Agerm1_06 	175 	175
AgBMR010	 Pop_0 	Agerm1_06 	173 	173
AgBMR011	 Pop_0 	Agerm1_06 	175 	173
AgBMR012	 Pop_0 	Agerm1_06 	175 	175
AgBMR013	 Pop_0 	Agerm1_06 	173 	173
AgBMR014	 Pop_0 	Agerm1_06 	175 	173
AgBMR016	 Pop_0 	Agerm1_06 	175 	173
AgBMR017	 Pop_0 	Agerm1_06 	173 	173
AgBMR018	 Pop_0 	Agerm1_06 	173 	173
AgBMR019	 Pop_0 	Agerm1_06 	173 	173
AgBMR020	 Pop_0 	Agerm1_06 	175 	173
AgBMR021	 Pop_0 	Agerm1_06 	173 	173
AgBMR022	 Pop_0 	Agerm1_06 	173 	173
AgBMR023	 Pop_0 	Agerm1_06 	175 	173
AgBMR024	 Pop_0 	Agerm1_06 	177 	177
AgBMR025	 Pop_0 	Agerm1_06 	173 	175
AgBMR026	 Pop_0 	Agerm1_06 	175 	173
AgBMR027	 Pop_0 	Agerm1_06 	175 	173
AgBMR029	 Pop_0 	Agerm1_06 	173 	173
AgBMR030	 Pop_0 	Agerm1_06 	173 	173
AgBMR031	 Pop_0 	Agerm1_06 	173 	173
AgBMR032	 Pop_0 	Agerm1_06 	173 	173
AgBMR033	 Pop_0 	Agerm1_06 	173 	173
AgBMR034	 Pop_0 	Agerm1_06 	173 	173
AgBMR035	 Pop_0 	Agerm1_06 	175 	173
AgBMR036	 Pop_0 	Agerm1_06 	173 	173
AgBMR037	 Pop_0 	Agerm1_06 	173 	173
AgBMR038	 Pop_0 	Agerm1_06 	173 	173
AgBPA001	 Pop_0 	Agerm1_06 	173 	173
AgBPA002	 Pop_0 	Agerm1_06 	175 	173
AgBPA003	 Pop_0 	Agerm1_06 	175 	173
AgBPA004	 Pop_0 	Agerm1_06 	173 	173
AgBPA005	 Pop_0 	Agerm1_06 	173 	173
AgBPA006	 Pop_0 	Agerm1_06 	173 	173
AgBPA007	 Pop_0 	Agerm1_06 	173 	173
AgBPA008	 Pop_0 	Agerm1_06 	173 	173
AgBPA009	 Pop_0 	Agerm1_06 	173 	173
AgBPA010	 Pop_0 	Agerm1_06 	173 	173
AgBPA011	 Pop_0 	Agerm1_06 	173 	173
AgBPA012	 Pop_0 	Agerm1_06 	173 	173
AgBPA013	 Pop_0 	Agerm1_06 	173 	173
AgBPA014	 Pop_0 	Agerm1_06 	173 	173
AgBPA015	 Pop_0 	Agerm1_06 	173 	173
AgBPA016	 Pop_0 	Agerm1_06 	173 	173
AgBPA017	 Pop_0 	Agerm1_06 	173 	173
AgBPA018	 Pop_0 	Agerm1_06 	173 	173
AgBPA019	 Pop_0 	Agerm1_06 	173 	173
AgBPA020	 Pop_0 	Agerm1_06 	175 	173
AgBPA021	 Pop_0 	Agerm1_06 	173 	173
AgBPA022	 Pop_0 	Agerm1_06 	173 	173
AgBPA023	 Pop_0 	Agerm1_06 	173 	173
AgBPA024	 Pop_0 	Agerm1_06 	173 	173
AgBPA025	 Pop_0 	Agerm1_06 	173 	173
AgBPA026	 Pop_0 	Agerm1_06 	173 	173
AgBPA027	 Pop_0 	Agerm1_06 	173 	173
AgBPA028	 Pop_0 	Agerm1_06 	173 	173
AgBPB001	 Pop_0 	Agerm1_06 	175 	173
AgBPB002	 Pop_0 	Agerm1_06 	173 	173
AgBPB003	 Pop_0 	Agerm1_06 	173 	173
AgBPB004	 Pop_0 	Agerm1_06 	173 	173
AgBPB005	 Pop_0 	Agerm1_06 	173 	173
AgBPB006	 Pop_0 	Agerm1_06 	173 	173
AgBPB007	 Pop_0 	Agerm1_06 	173 	173
AgBPB008	 Pop_0 	Agerm1_06 	175 	173
AgBPB009	 Pop_0 	Agerm1_06 	175 	173
AgBPB010	 Pop_0 	Agerm1_06 	173 	173
AgBPB011	 Pop_0 	Agerm1_06 	175 	173
AgBPB012	 Pop_0 	Agerm1_06 	173 	173
AgBPB013	 Pop_0 	Agerm1_06 	173 	173
AgBPB014	 Pop_0 	Agerm1_06 	173 	173
AgBPB015	 Pop_0 	Agerm1_06 	175 	175
AgBPB016	 Pop_0 	Agerm1_06 	173 	173
AgBPB017	 Pop_0 	Agerm1_06 	173 	173
AgBPB018	 Pop_0 	Agerm1_06 	173 	173
AgBPB019	 Pop_0 	Agerm1_06 	173 	173
AgBPB020	 Pop_0 	Agerm1_06 	173 	173
AgBPB021	 Pop_0 	Agerm1_06 	173 	173
AgBPB022	 Pop_0 	Agerm1_06 	175 	173
AgBPB023	 Pop_0 	Agerm1_06 	173 	173
AgBPB024	 Pop_0 	Agerm1_06 	175 	173
AgBPB025	 Pop_0 	Agerm1_06 	173 	173
AgBPB026	 Pop_0 	Agerm1_06 	173 	173
AgBPB027	 Pop_0 	Agerm1_06 	173 	173
AgBTM001	 Pop_1 	Agerm1_06 	173 	173
AgBTM002	 Pop_1 	Agerm1_06 	173 	173
AgBTM003	 Pop_1 	Agerm1_06 	173 	173
AgBTM004	 Pop_1 	Agerm1_06 	173 	173
